Date,Open,High,Low,Close,Adj Close,Volume
2014-04-14,15968.379883,15968.379883,15620.490234,15874.900391,15874.900391,20460500
2014-04-15,15871.679688,15956.070313,15646.540039,15661.849609,15661.849609,18588500
2014-04-16,15740.469727,15980.599609,15740.469727,15970.990234,15970.990234,17267500
2014-04-17,15993.599609,16185.280273,15977.360352,16142.900391,16142.900391,14899300
2014-04-22,16210.320313,16372.860352,16210.320313,16372.549805,16372.549805,14024500
2014-04-23,16380.900391,16402.750000,16280.089844,16295.900391,16295.900391,10811000
2014-04-24,16358.139648,16422.080078,16120.019531,16275.200195,16275.200195,13643200
2014-04-25,16221.089844,16241.929688,16023.530273,16056.610352,16056.610352,10397400
2014-04-28,16098.929688,16135.769531,15990.009766,16053.419922,16053.419922,9852900
2014-04-29,16114.629883,16203.160156,16086.290039,16166.900391,16166.900391,12303800
2014-04-30,16141.400391,16151.929688,16025.410156,16081.879883,16081.879883,14421400
2014-05-02,16116.860352,16158.799805,16072.780273,16126.629883,16126.629883,14977000
2014-05-05,16093.209961,16094.290039,15872.730469,16028.259766,16028.259766,10198900
2014-05-06,16094.089844,16172.530273,15992.290039,16000.610352,16000.610352,14581300
2014-05-07,15984.759766,16069.620117,15944.419922,16041.719727,16041.719727,18490300
2014-05-08,16085.750000,16305.440430,16085.750000,16293.919922,16293.919922,19831700
2014-05-09,16300.139648,16330.740234,16247.059570,16302.190430,16302.190430,17170200
2014-05-12,16344.429688,16513.269531,16344.429688,16511.929688,16511.929688,20047200
2014-05-13,16540.939453,16671.650391,16539.220703,16596.410156,16596.410156,14719600
2014-05-14,16621.269531,16630.349609,16520.539063,16530.580078,16530.580078,13256300
2014-05-15,16531.189453,16613.830078,16326.980469,16349.929688,16349.929688,17790600
2014-05-16,16354.889648,16358.790039,16124.549805,16185.740234,16185.740234,16602000
2014-05-19,16213.049805,16321.669922,16153.200195,16313.830078,16313.830078,11864900
2014-05-20,16320.799805,16354.379883,16242.190430,16245.389648,16245.389648,11509300
2014-05-21,16244.099609,16350.019531,16154.040039,16327.580078,16327.580078,12695400
2014-05-22,16367.250000,16508.109375,16367.250000,16490.970703,16490.970703,10958300
2014-05-23,16512.140625,16626.160156,16481.789063,16616.169922,16616.169922,11394400
2014-05-26,16661.730469,16798.599609,16661.730469,16794.220703,16794.220703,7026400
2014-05-27,16789.849609,16927.720703,16789.849609,16917.869141,16917.869141,12370000
2014-05-28,16943.060547,16966.070313,16852.130859,16913.539063,16913.539063,15521900
